Epoch: [0][0/2688], lr: 0.01000	Time 11.188 (11.188)	Data 1.538 (1.538)	Loss 5.1230 (5.1230)	Prec@1 3.125 (3.125)	Prec@5 6.250 (6.250)
Epoch: [0][40/2688], lr: 0.01000	Time 1.269 (1.472)	Data 0.000 (0.038)	Loss 5.2249 (5.1693)	Prec@1 0.000 (1.143)	Prec@5 0.000 (4.192)
Epoch: [0][80/2688], lr: 0.01000	Time 1.185 (1.350)	Data 0.000 (0.019)	Loss 5.0975 (5.1579)	Prec@1 0.000 (0.965)	Prec@5 6.250 (4.012)
Epoch: [0][120/2688], lr: 0.01000	Time 1.104 (1.306)	Data 0.000 (0.013)	Loss 5.0278 (5.1459)	Prec@1 6.250 (1.007)	Prec@5 9.375 (3.771)
Epoch: [0][160/2688], lr: 0.01000	Time 1.278 (1.286)	Data 0.000 (0.010)	Loss 5.0454 (5.1396)	Prec@1 0.000 (0.932)	Prec@5 3.125 (3.863)
Epoch: [0][200/2688], lr: 0.01000	Time 1.278 (1.274)	Data 0.000 (0.008)	Loss 5.1404 (5.1315)	Prec@1 0.000 (0.917)	Prec@5 0.000 (3.949)
Epoch: [0][240/2688], lr: 0.01000	Time 1.062 (1.266)	Data 0.000 (0.007)	Loss 5.1201 (5.1268)	Prec@1 0.000 (0.895)	Prec@5 3.125 (3.838)
Epoch: [0][280/2688], lr: 0.01000	Time 1.280 (1.261)	Data 0.000 (0.006)	Loss 5.1710 (5.1230)	Prec@1 3.125 (0.912)	Prec@5 6.250 (3.881)
Epoch: [0][320/2688], lr: 0.01000	Time 1.272 (1.257)	Data 0.000 (0.005)	Loss 5.0716 (5.1195)	Prec@1 0.000 (0.896)	Prec@5 9.375 (3.923)
Epoch: [0][360/2688], lr: 0.01000	Time 1.056 (1.247)	Data 0.000 (0.005)	Loss 5.0530 (5.1162)	Prec@1 3.125 (0.900)	Prec@5 3.125 (3.930)
Epoch: [0][400/2688], lr: 0.01000	Time 1.180 (1.236)	Data 0.000 (0.004)	Loss 4.9937 (5.1128)	Prec@1 6.250 (0.896)	Prec@5 6.250 (3.998)
Epoch: [0][440/2688], lr: 0.01000	Time 1.118 (1.225)	Data 0.000 (0.004)	Loss 4.9351 (5.1082)	Prec@1 3.125 (0.900)	Prec@5 6.250 (4.082)
Epoch: [0][480/2688], lr: 0.01000	Time 1.157 (1.216)	Data 0.000 (0.003)	Loss 4.9684 (5.1050)	Prec@1 3.125 (1.007)	Prec@5 9.375 (4.216)
Epoch: [0][520/2688], lr: 0.01000	Time 1.088 (1.208)	Data 0.000 (0.003)	Loss 5.1451 (5.1024)	Prec@1 0.000 (1.008)	Prec@5 0.000 (4.259)
Epoch: [0][560/2688], lr: 0.01000	Time 1.121 (1.202)	Data 0.000 (0.003)	Loss 5.0668 (5.0995)	Prec@1 0.000 (1.025)	Prec@5 3.125 (4.389)
Epoch: [0][600/2688], lr: 0.01000	Time 1.104 (1.196)	Data 0.000 (0.003)	Loss 5.0093 (5.0983)	Prec@1 0.000 (1.019)	Prec@5 6.250 (4.399)
Epoch: [0][640/2688], lr: 0.01000	Time 1.126 (1.191)	Data 0.000 (0.003)	Loss 5.1182 (5.0941)	Prec@1 0.000 (1.034)	Prec@5 0.000 (4.529)
Epoch: [0][680/2688], lr: 0.01000	Time 1.076 (1.186)	Data 0.000 (0.003)	Loss 4.9249 (5.0909)	Prec@1 0.000 (1.051)	Prec@5 9.375 (4.658)
Epoch: [0][720/2688], lr: 0.01000	Time 1.120 (1.183)	Data 0.000 (0.002)	Loss 5.0576 (5.0878)	Prec@1 0.000 (1.079)	Prec@5 3.125 (4.746)
Epoch: [0][760/2688], lr: 0.01000	Time 1.105 (1.179)	Data 0.000 (0.002)	Loss 5.1168 (5.0832)	Prec@1 3.125 (1.125)	Prec@5 3.125 (4.862)
Epoch: [0][800/2688], lr: 0.01000	Time 1.104 (1.175)	Data 0.000 (0.002)	Loss 5.0146 (5.0801)	Prec@1 0.000 (1.131)	Prec@5 0.000 (4.904)
Epoch: [0][840/2688], lr: 0.01000	Time 1.124 (1.172)	Data 0.000 (0.002)	Loss 5.1483 (5.0776)	Prec@1 0.000 (1.156)	Prec@5 6.250 (4.961)
Epoch: [0][880/2688], lr: 0.01000	Time 1.065 (1.169)	Data 0.000 (0.002)	Loss 4.9880 (5.0745)	Prec@1 0.000 (1.188)	Prec@5 3.125 (5.026)
Epoch: [0][920/2688], lr: 0.01000	Time 1.113 (1.167)	Data 0.000 (0.002)	Loss 5.0368 (5.0720)	Prec@1 0.000 (1.191)	Prec@5 0.000 (5.069)
Epoch: [0][960/2688], lr: 0.01000	Time 1.126 (1.165)	Data 0.000 (0.002)	Loss 4.9205 (5.0677)	Prec@1 3.125 (1.245)	Prec@5 6.250 (5.170)
Epoch: [0][1000/2688], lr: 0.01000	Time 1.100 (1.163)	Data 0.000 (0.002)	Loss 4.9301 (5.0646)	Prec@1 6.250 (1.289)	Prec@5 9.375 (5.260)
Epoch: [0][1040/2688], lr: 0.01000	Time 1.119 (1.161)	Data 0.000 (0.002)	Loss 5.0975 (5.0612)	Prec@1 0.000 (1.291)	Prec@5 6.250 (5.355)
